Date,Customer,SKU,Actual_Price,List_Price,Discount_Rate,Featured_SKU
2023-11-09,9611,219029,327.0375,327.0375,0,0
2023-11-09,9611,222087,151.7625,226.575,0.33,0
2023-11-09,9611,320485,205.9125,205.9125,0,0
2023-11-09,9611,378934,205.9125,205.9125,0,0
2023-11-09,9611,222765,226.575,226.575,0,0
2023-11-09,9611,223245,190.95,190.95,0,0
2023-11-09,9611,223153,218.025,218.025,0,0
2023-11-09,9611,398721,533.6625,533.6625,0,0
2023-11-09,9611,245387,533.6625,533.6625,0,0
2023-11-09,9611,245338,533.6625,533.6625,0,0
2023-11-09,9611,600934,355.5375,454.575,0.22,1
2023-11-09,9611,547934,177.4125,177.4125,0,0
2023-11-09,9613,216418,106.1625,105.45,-0.01,0
2023-11-09,9613,216419,106.875,106.1625,-0.01,0
2023-11-09,9613,300021,106.1625,119.7,0.11,0
2023-11-09,9613,300291,112.575,184.5375,0.39,0
2023-11-09,9613,216425,117.5625,117.5625,0,0
2023-11-09,9613,216233,116.1375,132.525,0.12,0
2023-11-09,9613,217390,161.025,161.025,0,0
2023-11-09,9613,219009,213.75,213.75,0,0
2023-11-09,9613,219029,318.4875,318.4875,0,0
2023-11-09,9613,222087,151.05,220.875,0.32,0
2023-11-09,9613,320485,205.9125,205.9125,0,0
2023-11-09,9613,378934,205.9125,205.9125,0,0
2023-11-09,9613,222765,234.4125,234.4125,0,0
2023-11-09,9613,223245,180.975,205.2,0.12,0
2023-11-09,9613,223153,219.45,219.45,0,0
2023-11-09,9613,398721,533.6625,533.6625,0,0
2023-11-09,9613,245387,515.85,515.85,0,0
2023-11-09,9613,245338,533.6625,533.6625,0,0
2023-11-09,9613,547934,177.4125,177.4125,0,0
2023-11-09,9632,216418,69.1125,69.1125,0,0
2023-11-09,9632,216419,67.6875,67.6875,0,0
2023-11-09,9632,300021,68.4,68.4,0,0
2023-11-09,9632,300291,107.5875,178.8375,0.4,0
2023-11-09,9632,216425,113.2875,113.2875,0,0
2023-11-09,9632,216233,113.2875,113.2875,0,0
2023-11-09,9632,217390,166.725,166.725,0,0
2023-11-09,9632,219009,218.7375,218.7375,0,0
2023-11-09,9632,219029,295.6875,295.6875,0,0
2023-11-09,9632,222087,190.2375,223.725,0.15,0
2023-11-09,9632,320485,205.9125,205.9125,0,0
2023-11-09,9632,222765,205.2,205.2,0,0
2023-11-09,9632,223153,202.35,202.35,0,0
2023-11-09,9632,245338,453.15,453.15,0,0
2023-11-09,9680,216418,69.825,69.825,0,0
2023-11-09,9680,216419,69.825,69.825,0,0
2023-11-09,9680,216425,117.5625,117.5625,0,0
2023-11-09,9680,216233,115.425,115.425,0,0
2023-11-09,9680,217390,161.025,161.025,0,0
2023-11-09,9680,219009,215.8875,215.8875,0,0
2023-11-09,9680,219029,295.6875,295.6875,0,0
2023-11-09,9680,222087,168.15,223.725,0.25,0
2023-11-09,9680,222765,205.2,205.2,0,0
2023-11-09,9680,223245,148.2,205.9125,0.28,0
2023-11-09,9680,223153,206.625,202.35,-0.02,0
2023-11-09,9680,245387,469.5375,469.5375,0,0
2023-11-09,9680,245338,469.5375,469.5375,0,0
2023-11-09,9700,216418,104.025,104.025,0,0
2023-11-09,9700,216233,119.7,119.7,0,0
2023-11-09,9700,219009,206.625,206.625,0,0
2023-11-09,9700,222087,205.2,205.2,0,0
2023-11-09,9700,223245,202.35,205.2,0.01,0
2023-11-09,9713,216418,106.1625,112.575,0.06,0
2023-11-09,9713,216419,106.1625,110.4375,0.04,0
2023-11-09,9713,300021,106.1625,99.0375,-0.07,0
2023-11-09,9713,216425,116.85,132.525,0.12,0
2023-11-09,9713,216233,116.85,134.6625,0.13,0
2023-11-09,9713,217390,166.0125,166.0125,0,0
2023-11-09,9713,219009,213.75,213.75,0,0
2023-11-09,9713,219029,327.0375,327.0375,0,0
2023-11-09,9713,222087,136.8,227.2875,0.4,0
2023-11-09,9713,320485,205.9125,205.9125,0,0
2023-11-09,9713,378934,205.9125,205.9125,0,0
2023-11-09,9713,222765,234.4125,234.4125,0,0
2023-11-09,9713,223245,180.2625,205.2,0.12,0
2023-11-09,9713,398721,533.6625,533.6625,0,0
2023-11-09,9713,245387,533.6625,533.6625,0,0
2023-11-09,9713,245338,528.675,528.675,0,0
2023-11-09,9731,216418,106.1625,106.1625,0,0
2023-11-09,9731,216419,106.875,106.875,0,0
2023-11-09,9731,216425,118.275,134.6625,0.12,0
2023-11-09,9731,216233,118.275,133.95,0.12,0
2023-11-09,9731,219009,206.625,206.625,0,0
2023-11-09,9731,219029,319.2,319.2,0,0
2023-11-09,9731,222087,161.7375,222.3,0.27,0
2023-11-09,9731,222765,234.4125,234.4125,0,0
2023-11-09,9731,223245,180.2625,180.2625,0,0
2023-11-09,9731,223153,227.2875,227.2875,0,0
2023-11-09,9731,245338,533.6625,533.6625,0,0
2023-11-09,9745,216418,106.1625,99.0375,-0.07,0
2023-11-09,9745,216419,106.1625,98.325,-0.08,0
2023-11-09,9745,300021,106.875,106.875,0,0
2023-11-09,9745,216425,118.9875,134.6625,0.12,0
2023-11-09,9745,216233,117.5625,133.95,0.12,0
2023-11-09,9745,217390,164.5875,164.5875,0,0
2023-11-09,9745,219009,234.4125,234.4125,0,0
2023-11-09,9745,219029,312.075,312.075,0,0
2023-11-09,9745,222087,163.875,227.2875,0.28,0
2023-11-09,9745,320485,205.9125,205.9125,0,0
2023-11-09,9745,222765,234.4125,234.4125,0,0
2023-11-09,9745,223245,180.2625,205.2,0.12,0
2023-11-09,9745,223153,223.725,223.725,0,0
2023-11-09,9745,245387,533.6625,533.6625,0,0
2023-11-09,9745,245338,533.6625,533.6625,0,0
2023-11-09,9745,547934,177.4125,177.4125,0,0
2023-11-09,9770,216418,69.1125,69.1125,0,0
2023-11-09,9770,216233,115.425,115.425,0,0
2023-11-09,9770,217390,156.75,156.75,0,0
2023-11-09,9770,219844,237.975,237.975,0,0
2023-11-09,9770,219009,211.6125,211.6125,0,0
2023-11-09,9770,219029,295.6875,295.6875,0,0
2023-11-09,9770,222087,172.425,223.725,0.23,0
2023-11-09,9770,320485,205.9125,205.9125,0,0
